"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4537","show product list","chromium","2026-05-04","passed","2026-05-04","product page tests","Product.spec.js","",""
"","5901","product should be add to cart","chromium","2026-05-04","passed","2026-05-04","test cart page","Cart.spec.js","",""
"","15725","enter invalid data for all field and click to continue button","chromium","2026-05-05","passed","2026-05-05","checkout page test","Checkout.spec.js","",""
"","5263","add multiple product in the cart","chromium","2026-05-04","passed","2026-05-04","test cart page","Cart.spec.js","",""
"","22907","enter invalid data for first name and click to continue button","chromium","2026-05-05","passed","2026-05-05","checkout page test","Checkout.spec.js","",""
"","6072","continue shopping","chromium","2026-05-05","passed","2026-05-05","test cart page","Cart.spec.js","",""
"","4340","test locked out user","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","3863","Null username password test","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","7915","test blank password","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","4513","enter invalid data for last name and click to continue button","chromium","2026-05-05","passed","2026-05-05","checkout page test","Checkout.spec.js","",""
"","4347","product sort low to high","chromium","2026-05-04","failed","2026-05-04","product page tests","Product.spec.js","",""
"","8842","test invalid user","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","4651","test blank username","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","9222","problem user","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","5682","product should be add to cart","chromium","2026-05-04","passed","2026-05-04","product page tests","Product.spec.js","",""
"","14065","enter valid field and click to continue button","chromium","2026-05-05","passed","2026-05-05","checkout page test","Checkout.spec.js","",""
"","4725","enter invalid data for postal code and click to continue button","chromium","2026-05-05","passed","2026-05-05","checkout page test","Checkout.spec.js","",""
"","7839","valid login test","chromium","2026-05-04","passed","2026-05-04","login tests","Login.spec.js","",""
"","5937","remove product from cart","chromium","2026-05-04","passed","2026-05-04","test cart page","Cart.spec.js","",""
